open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,xau_open_price,xau_open_direction,xaut_open_price,xaut_open_direction,xau_open_amount,xaut_open_amount,xau_close_price,xau_close_direction,xaut_close_price,xaut_close_direction,fee,pnl
2025-11-24 14:02:00,2025-11-24 16:22:00,SHORT_SPREAD,14.0,14.0,11.0,4075.01,SELL,4061.12,BUY,48900.12,48733.44,4073.51,BUY,4062.62,SELL,23.432054400000002,12.567945599999998
2025-11-24 18:30:00,2025-11-25 11:14:00,SHORT_SPREAD,14.0,14.0,11.0,4093.92,SELL,4079.71,BUY,49127.04,48956.520000000004,4092.42,BUY,4081.21,SELL,23.540054400000002,12.459945599999998
2025-11-25 17:27:00,2025-11-25 20:25:00,SHORT_SPREAD,14.0,14.0,11.0,4147.83,SELL,4133.679999999999,BUY,49773.96,49604.15999999999,4146.33,BUY,4135.179999999999,SELL,23.850748799999998,12.149251200000002
2025-11-26 04:47:00,2025-11-27 02:24:00,SHORT_SPREAD,14.0,14.0,11.0,4152.82,SELL,4138.92,BUY,49833.84,49667.04,4151.32,BUY,4140.42,SELL,23.880211199999998,12.119788800000002
2025-11-27 05:50:00,2025-11-27 15:56:00,SHORT_SPREAD,14.0,14.0,11.0,4141.82,SELL,4127.69,BUY,49701.84,49532.28,4140.32,BUY,4129.19,SELL,23.8161888,12.183811200000001
2025-11-27 23:13:00,2025-11-28 00:05:00,SHORT_SPREAD,14.0,14.0,11.0,4157.57,SELL,4143.67,BUY,49890.84,49724.04,4156.07,BUY,4145.17,SELL,23.9075712,12.0924288
2025-11-28 02:54:00,2025-12-01 05:24:00,SHORT_SPREAD,14.0,14.0,11.0,4186.0,SELL,4172.0199999999995,BUY,50232.0,50064.23999999999,4184.5,BUY,4173.5199999999995,SELL,24.071097599999998,11.928902400000002
2025-12-01 05:41:00,2025-12-01 05:56:00,SHORT_SPREAD,14.0,14.0,11.0,4228.32,SELL,4214.389999999999,BUY,50739.84,50572.67999999999,4226.82,BUY,4215.889999999999,SELL,24.315004799999997,11.684995200000003
2025-12-01 07:20:00,2025-12-02 09:17:00,SHORT_SPREAD,14.0,14.0,11.0,4234.92,SELL,4221.03,BUY,50819.04,50652.36,4233.42,BUY,4222.53,SELL,24.353136,11.646864
2025-12-03 16:56:00,2025-12-03 17:43:00,SHORT_SPREAD,14.0,14.0,11.0,4206.6,SELL,4192.79,BUY,50479.200000000004,50313.479999999996,4205.1,BUY,4194.29,SELL,24.1902432,11.809756799999999
2025-12-03 18:53:00,2025-12-03 22:40:00,SHORT_SPREAD,14.0,14.0,11.0,4205.51,SELL,4191.67,BUY,50466.12,50300.04,4204.01,BUY,4193.17,SELL,24.183878400000005,11.816121599999995
2025-12-07 18:25:00,2025-12-07 22:55:00,LONG_SPREAD,5.0,5.0,8.0,4206.62,BUY,4201.51,SELL,50479.44,50418.12,4208.12,SELL,4200.01,BUY,24.2154144,11.7845856
2025-12-10 03:48:00,2025-12-10 07:12:00,LONG_SPREAD,5.0,5.0,8.0,4209.15,BUY,4203.95,SELL,50509.799999999996,50447.399999999994,4210.65,SELL,4202.45,BUY,24.229727999999998,11.770272000000002
2025-12-12 03:16:00,2025-12-12 08:08:00,SHORT_SPREAD,14.0,14.0,11.0,4282.66,SELL,4268.71,BUY,51391.92,51224.520000000004,4281.16,BUY,4270.21,SELL,24.6279456,11.3720544
