open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,leg1_open_price,leg1_open_direction,leg2_open_price,leg2_open_direction,leg1_open_amount,leg2_open_amount,leg1_close_price,leg1_close_direction,leg2_close_price,leg2_close_direction,fee,pnl,cb_forced
2025-12-31 00:32:00,2025-12-31 00:34:00,LONG_SPREAD,-9.0,-9.0,-5.6,4334.87,BUY,4343.8,SELL,26009.22,26062.800000000003,4336.57,SELL,4342.1,BUY,4.374049680000001,16.02595031999782,
2025-12-31 00:32:00,2025-12-31 00:40:00,LONG_SPREAD,-5.6,-5.6,-2.1999999999999997,4334.87,BUY,4343.8,SELL,26009.22,26062.800000000003,4336.57,SELL,4342.1,BUY,4.374049680000001,16.02595031999782,
2025-12-31 00:31:00,2025-12-31 00:41:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4338.51,BUY,4343.900000000001,SELL,26031.06,26063.4,4340.21,SELL,4342.200000000001,BUY,4.3759346400000005,16.024065359997817,
2025-12-31 00:48:00,2025-12-31 00:50:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4341.09,BUY,4346.2,SELL,26046.54,26077.199999999997,4342.79,SELL,4344.5,BUY,4.378394159999999,16.021605839997818,
2025-12-31 00:30:00,2025-12-31 00:53:00,LONG_SPREAD,1.2,1.2,4.6,4343.99,BUY,4343.900000000001,SELL,26063.94,26063.4,4345.69,SELL,4342.200000000001,BUY,4.37869656,16.021303439997816,
2025-12-31 01:03:00,2025-12-31 01:17:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4351.57,BUY,4353.7,SELL,26109.42,26122.199999999997,4353.2699999999995,SELL,4352.0,BUY,4.38745608,16.012543919997817,
2025-12-31 01:25:00,2025-12-31 02:12:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4361.45,BUY,4366.1,SELL,26168.699999999997,26196.600000000002,4363.15,SELL,4364.400000000001,BUY,4.398685199999999,16.001314799997818,
2025-12-31 01:01:00,2025-12-31 02:13:00,LONG_SPREAD,1.2,1.2,4.6,4349.88,BUY,4349.900000000001,SELL,26099.28,26099.4,4351.58,SELL,4348.200000000001,BUY,4.38468912,16.015310879997816,
2025-12-31 02:14:00,2025-12-31 02:57:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4363.82,BUY,4368.0,SELL,26182.92,26208.0,4365.5199999999995,SELL,4366.3,BUY,4.400837279999999,15.999162719997818,
2025-12-31 03:08:00,2025-12-31 03:10:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4359.77,BUY,4362.900000000001,SELL,26158.620000000003,26177.4,4361.47,SELL,4361.200000000001,BUY,4.396225680000001,16.003774319997817,
2025-12-31 02:14:00,2025-12-31 03:56:00,LONG_SPREAD,1.2,1.2,4.6,4363.82,BUY,4368.0,SELL,26182.92,26208.0,4365.5199999999995,SELL,4366.3,BUY,4.400837279999999,15.999162719997818,
2025-12-31 03:58:00,2025-12-31 04:04:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4352.58,BUY,4355.3,SELL,26115.48,26131.800000000003,4354.28,SELL,4353.6,BUY,4.388771520000001,16.01122847999782,
2025-12-31 04:05:00,2025-12-31 04:07:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4353.46,BUY,4356.1,SELL,26120.760000000002,26136.600000000002,4355.16,SELL,4354.400000000001,BUY,4.389618240000001,16.010381759997816,
2025-12-31 03:57:00,2025-12-31 04:15:00,LONG_SPREAD,1.2,1.2,4.6,4352.69,BUY,4353.0,SELL,26116.14,26118.0,4354.389999999999,SELL,4351.3,BUY,4.387667759999999,16.012332239997818,
2025-12-31 04:17:00,2025-12-31 04:26:00,LONG_SPREAD,1.2,1.2,4.6,4353.5,BUY,4352.900000000001,SELL,26121.0,26117.4,4355.2,SELL,4351.200000000001,BUY,4.3880256,16.01197439999782,
2025-12-31 00:30:00,2025-12-31 04:27:00,LONG_SPREAD,4.6,4.6,8.0,4343.99,BUY,4343.900000000001,SELL,26063.94,26063.4,4345.69,SELL,4342.200000000001,BUY,4.37869656,16.021303439997816,
2025-12-31 04:37:00,2025-12-31 04:43:00,LONG_SPREAD,1.2,1.2,4.6,4355.43,BUY,4355.2,SELL,26132.58,26131.199999999997,4357.13,SELL,4353.5,BUY,4.390157519999999,16.00984247999782,
2025-12-31 04:54:00,2025-12-31 04:57:00,SHORT_SPREAD,11.4,11.4,8.0,4361.41,SELL,4349.4,BUY,26168.46,26096.399999999998,4359.71,BUY,4351.099999999999,SELL,4.39024824,16.00975175999782,
2025-12-31 04:50:00,2025-12-31 04:58:00,SHORT_SPREAD,8.0,8.0,4.6,4360.7,SELL,4352.7,BUY,26164.199999999997,26116.199999999997,4359.0,BUY,4354.4,SELL,4.3915536,16.008446399997815,
2025-12-31 05:06:00,2025-12-31 05:08:00,SHORT_SPREAD,4.6,4.6,1.1999999999999997,4350.2,SELL,4341.5,BUY,26101.199999999997,26049.0,4348.5,BUY,4343.2,SELL,4.380616799999999,16.01938319999782,
2025-12-31 05:13:00,2025-12-31 05:36:00,SHORT_SPREAD,4.6,4.6,1.1999999999999997,4347.62,SELL,4342.4,BUY,26085.72,26054.399999999998,4345.92,BUY,4344.099999999999,SELL,4.37977008,16.020229919997817,
2025-12-31 05:48:00,2025-12-31 05:49:00,LONG_SPREAD,-9.0,-9.0,-5.6,4319.28,BUY,4329.900000000001,SELL,25915.68,25979.4,4320.98,SELL,4328.200000000001,BUY,4.35918672,16.040813279997817,
2025-12-31 05:38:00,2025-12-31 05:49:00,LONG_SPREAD,-2.2,-2.2,1.1999999999999997,4339.81,BUY,4344.5,SELL,26038.86,26067.0,4341.51,SELL,4342.8,BUY,4.37689224,16.023107759997817,
2025-12-31 05:51:00,2025-12-31 05:53:00,LONG_SPREAD,1.2,1.2,4.6,4320.94,BUY,4319.8,SELL,25925.64,25918.800000000003,4322.639999999999,SELL,4318.1,BUY,4.354932959999999,16.045067039997818,
2025-12-31 05:56:00,2025-12-31 06:00:00,SHORT_SPREAD,8.0,8.0,4.6,4311.9,SELL,4298.2,BUY,25871.399999999998,25789.199999999997,4310.2,BUY,4299.9,SELL,4.339490399999999,16.06050959999782,
2025-12-31 05:56:00,2025-12-31 06:00:00,SHORT_SPREAD,11.4,11.4,8.0,4311.9,SELL,4298.2,BUY,25871.399999999998,25789.199999999997,4310.2,BUY,4299.9,SELL,4.339490399999999,16.06050959999782,
