datetime,open_time,spread,leg1_qty,leg2_qty,equity,leg1_notional,leg2_notional,total_mm,margin_ratio,drawdown
2026-04-29 00:02:00+00:00,1777420920000,9.549999999999272,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:03:00+00:00,1777420980000,9.960000000000036,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:04:00+00:00,1777421040000,10.799999999999272,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:05:00+00:00,1777421100000,10.579999999999927,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:06:00+00:00,1777421160000,9.890000000000327,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:07:00+00:00,1777421220000,10.050000000000182,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:08:00+00:00,1777421280000,9.930000000000291,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:09:00+00:00,1777421340000,10.599999999999454,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:10:00+00:00,1777421400000,10.230000000000473,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:11:00+00:00,1777421460000,10.449999999999818,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:12:00+00:00,1777421520000,10.529999999999745,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:13:00+00:00,1777421580000,11.320000000000618,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:14:00+00:00,1777421640000,11.300000000000182,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:15:00+00:00,1777421700000,10.840000000000146,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:16:00+00:00,1777421760000,10.819999999999709,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:17:00+00:00,1777421820000,10.449999999999818,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:18:00+00:00,1777421880000,10.239999999999782,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
2026-04-29 00:19:00+00:00,1777421940000,10.0600000000004,0.0,0.0,10000.0,0.0,0.0,0.0,inf,0.0
