open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,leg1_open_price,leg1_open_direction,leg2_open_price,leg2_open_direction,leg1_open_amount,leg2_open_amount,leg1_close_price,leg1_close_direction,leg2_close_price,leg2_close_direction,fee,pnl
2026-03-06 09:59:00,2026-03-06 10:04:00,LONG_SPREAD,-0.02,-0.02,-0.01,5.841,BUY,5.664,SELL,9345.6,9062.4,5.846,SELL,5.659,BUY,1.546272,14.453727999999659
2026-03-06 10:31:00,2026-03-06 10:39:00,SHORT_SPREAD,0.0,0.0,-0.01,5.852,SELL,6.05,BUY,9363.2,9680.0,5.847,BUY,6.055,SELL,1.5996288,14.40037119999966
2026-03-06 11:08:00,2026-03-06 11:10:00,LONG_SPREAD,-0.04,-0.04,-0.03,5.792,BUY,5.638,SELL,9267.199999999999,9020.8,5.797,SELL,5.633,BUY,1.5361919999999998,14.46380799999966
2026-03-06 11:03:00,2026-03-06 11:10:00,LONG_SPREAD,-0.03,-0.03,-0.019999999999999997,5.803,BUY,5.638,SELL,9284.8,9020.8,5.808,SELL,5.633,BUY,1.5376703999999997,14.46232959999966
2026-03-06 11:02:00,2026-03-06 11:11:00,LONG_SPREAD,-0.02,-0.02,-0.01,5.812,BUY,5.639,SELL,9299.2,9022.4,5.817,SELL,5.634,BUY,1.5390144000000001,14.46098559999966
2026-03-06 11:31:00,2026-03-06 12:05:00,LONG_SPREAD,-0.02,-0.02,-0.01,5.8,BUY,5.622,SELL,9280.0,8995.2,5.805,SELL,5.617,BUY,1.5351168,14.464883199999658
2026-03-06 12:34:00,2026-03-06 13:05:00,SHORT_SPREAD,0.0,0.0,-0.01,5.809,SELL,6.009,BUY,9294.4,9614.400000000001,5.804,BUY,6.014,SELL,1.5883392,14.411660799999659
2026-03-06 13:32:00,2026-03-06 13:56:00,SHORT_SPREAD,0.01,0.01,0.0,5.824,SELL,6.0120000000000005,BUY,9318.4,9619.2,5.819,BUY,6.017,SELL,1.5907584,14.409241599999659
2026-03-06 15:02:00,2026-03-06 15:06:00,SHORT_SPREAD,0.03,0.03,0.019999999999999997,5.859,SELL,6.026,BUY,9374.4,9641.6,5.854,BUY,6.031,SELL,1.597344,14.40265599999966
2026-03-06 14:17:00,2026-03-06 15:07:00,SHORT_SPREAD,0.01,0.01,0.0,5.812,SELL,5.9990000000000006,BUY,9299.2,9598.400000000001,5.807,BUY,6.0040000000000004,SELL,1.5873984,14.41260159999966
2026-03-06 14:53:00,2026-03-06 15:07:00,SHORT_SPREAD,0.02,0.02,0.01,5.821,SELL,5.9990000000000006,BUY,9313.6,9598.400000000001,5.816,BUY,6.0040000000000004,SELL,1.588608,14.411391999999658
2026-03-06 15:31:00,2026-03-06 15:47:00,SHORT_SPREAD,0.02,0.02,0.01,5.822,SELL,6.0,BUY,9315.2,9600.0,5.817,BUY,6.005,SELL,1.5888768,14.41112319999966
2026-03-06 16:15:00,2026-03-06 16:29:00,SHORT_SPREAD,0.03,0.03,0.019999999999999997,5.841,SELL,6.007000000000001,BUY,9345.6,9611.2,5.836,BUY,6.0120000000000005,SELL,1.5923712,14.407628799999658
2026-03-06 16:13:00,2026-03-06 16:54:00,SHORT_SPREAD,0.02,0.02,0.01,5.829,SELL,6.005,BUY,9326.4,9608.0,5.824,BUY,6.01,SELL,1.5904895999999997,14.40951039999966
2026-03-06 17:32:00,2026-03-06 17:37:00,SHORT_SPREAD,0.02,0.02,0.01,5.83,SELL,6.008,BUY,9328.0,9612.8,5.825,BUY,6.013,SELL,1.5910271999999996,14.40897279999966
2026-03-06 20:09:00,2026-03-06 21:17:00,SHORT_SPREAD,0.02,0.02,0.01,5.831,SELL,6.011,BUY,9329.6,9617.6,5.8260000000000005,BUY,6.016,SELL,1.5915648,14.408435199999658
2026-03-06 22:56:00,2026-03-06 23:16:00,SHORT_SPREAD,0.03,0.03,0.019999999999999997,5.844,SELL,6.013,BUY,9350.4,9620.8,5.839,BUY,6.018,SELL,1.5935807999999998,14.40641919999966
2026-03-06 21:57:00,2026-03-07 00:27:00,SHORT_SPREAD,0.02,0.02,0.01,5.831,SELL,6.011,BUY,9329.6,9617.6,5.8260000000000005,BUY,6.016,SELL,1.5915648,14.408435199999658
2026-03-07 00:51:00,2026-03-07 01:15:00,SHORT_SPREAD,0.02,0.02,0.01,5.844,SELL,6.023000000000001,BUY,9350.4,9636.800000000001,5.839,BUY,6.0280000000000005,SELL,1.5949248000000003,14.405075199999658
2026-03-07 01:18:00,2026-03-07 01:56:00,SHORT_SPREAD,0.02,0.02,0.01,5.838,SELL,6.016,BUY,9340.8,9625.6,5.833,BUY,6.021,SELL,1.5931776,14.406822399999658
