open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,leg1_open_price,leg1_open_direction,leg2_open_price,leg2_open_direction,leg1_open_amount,leg2_open_amount,leg1_close_price,leg1_close_direction,leg2_close_price,leg2_close_direction,fee,pnl
2026-04-29 00:29:00,2026-04-29 06:37:00,SHORT_SPREAD,11.4,11.4,8.0,4603.26,SELL,4592.04,BUY,27619.56,27552.239999999998,4601.56,BUY,4593.74,SELL,4.6344312,15.765568799997817
2026-04-29 13:30:00,2026-04-29 15:22:00,LONG_SPREAD,1.2,1.2,4.6,4530.0,BUY,4530.29,SELL,27180.0,27181.739999999998,4531.7,SELL,4528.59,BUY,4.5663861599999995,15.833613839997817
2026-04-29 21:59:00,2026-04-29 22:05:00,LONG_SPREAD,1.2,1.2,4.6,4551.17,BUY,4549.81,SELL,27307.02,27298.86,4552.87,SELL,4548.110000000001,BUY,4.58689392,15.813106079997818
2026-04-29 13:19:00,2026-04-30 02:24:00,LONG_SPREAD,4.6,4.6,8.0,4547.31,BUY,4542.71,SELL,27283.86,27256.260000000002,4549.01,SELL,4541.01,BUY,4.581370079999999,15.818629919997818
2026-04-30 06:58:00,2026-04-30 08:38:00,LONG_SPREAD,8.0,8.0,11.4,4591.66,BUY,4584.14,SELL,27549.96,27504.840000000004,4593.36,SELL,4582.4400000000005,BUY,4.624603199999999,15.775396799997818
2026-04-30 10:38:00,2026-04-30 12:07:00,SHORT_SPREAD,14.8,14.8,11.4,4640.02,SELL,4624.57,BUY,27840.120000000003,27747.42,4638.320000000001,BUY,4626.2699999999995,SELL,4.669353360000001,15.730646639997817
2026-04-30 15:04:00,2026-04-30 16:50:00,SHORT_SPREAD,14.8,14.8,11.4,4619.93,SELL,4605.2,BUY,27719.58,27631.199999999997,4618.2300000000005,BUY,4606.9,SELL,4.64946552,15.750534479997818
2026-04-30 16:56:00,2026-04-30 17:02:00,SHORT_SPREAD,14.8,14.8,11.4,4614.01,SELL,4597.849999999999,BUY,27684.06,27587.1,4612.31,BUY,4599.549999999999,SELL,4.64277744,15.757222559997818
2026-04-30 17:04:00,2026-04-30 17:06:00,LONG_SPREAD,8.0,8.0,11.4,4613.99,BUY,4605.860000000001,SELL,27683.94,27635.160000000003,4615.69,SELL,4604.160000000001,BUY,4.646804400000001,15.753195599997817
2026-04-30 17:42:00,2026-04-30 20:54:00,SHORT_SPREAD,14.8,14.8,11.4,4620.01,SELL,4605.2699999999995,BUY,27720.06,27631.619999999995,4618.31,BUY,4606.969999999999,SELL,4.64954112,15.750458879997817
2026-04-30 21:37:00,2026-04-30 22:05:00,SHORT_SPREAD,14.8,14.8,11.4,4623.58,SELL,4607.26,BUY,27741.48,27643.56,4621.88,BUY,4608.96,SELL,4.65234336,15.747656639997818
2026-05-01 00:11:00,2026-05-01 00:19:00,SHORT_SPREAD,21.6,21.6,18.200000000000003,4632.01,SELL,4609.96,BUY,27792.06,27659.760000000002,4630.31,BUY,4611.66,SELL,4.65795288,15.742047119997817
2026-05-01 02:45:00,2026-05-01 02:46:00,SHORT_SPREAD,21.6,21.6,18.200000000000003,4630.01,SELL,4608.12,BUY,27780.06,27648.72,4628.31,BUY,4609.82,SELL,4.656017519999999,15.743982479997818
