open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,leg1_open_price,leg1_open_direction,leg2_open_price,leg2_open_direction,leg1_open_amount,leg2_open_amount,leg1_close_price,leg1_close_direction,leg2_close_price,leg2_close_direction,fee,pnl
2025-12-31 00:27:00,2025-12-31 00:29:00,LONG_SPREAD,-11.82777173,-11.82777173,-8.22777173,4340.74,BUY,4352.8,SELL,34725.92,34822.4,4342.54,SELL,4351.0,BUY,5.84205888,22.95794112000291
2025-12-31 00:20:00,2025-12-31 00:29:00,LONG_SPREAD,-8.22777173,-8.22777173,-4.627771730000001,4347.94,BUY,4356.71,SELL,34783.52,34853.68,4349.74,SELL,4354.91,BUY,5.849524799999999,22.950475200002913
2025-12-31 00:32:00,2025-12-31 00:40:00,LONG_SPREAD,-15.42777173,-15.42777173,-11.82777173,4334.87,BUY,4351.860000000001,SELL,34678.96,34814.880000000005,4336.67,SELL,4350.06,BUY,5.83748256,22.962517440002912
2025-12-31 00:31:00,2025-12-31 00:40:00,LONG_SPREAD,-11.82777173,-11.82777173,-8.22777173,4338.51,BUY,4352.7,SELL,34708.08,34821.6,4340.31,SELL,4350.9,BUY,5.84049312,22.959506880002913
2025-12-31 00:30:00,2025-12-31 03:35:00,LONG_SPREAD,-4.62777173,-4.62777173,-1.02777173,4343.99,BUY,4351.72,SELL,34751.92,34813.76,4345.79,SELL,4349.92,BUY,5.84351712,22.95648288000291
2025-12-31 03:37:00,2025-12-31 03:56:00,LONG_SPREAD,-4.62777173,-4.62777173,-1.02777173,4359.61,BUY,4364.31,SELL,34876.88,34914.48,4361.41,SELL,4362.51,BUY,5.862474239999999,22.937525760002913
2025-12-31 03:57:00,2025-12-31 04:15:00,LONG_SPREAD,-4.62777173,-4.62777173,-1.02777173,4352.69,BUY,4359.070000000001,SELL,34821.52,34872.560000000005,4354.49,SELL,4357.27,BUY,5.85430272,22.94569728000291
2025-12-31 04:17:00,2025-12-31 04:26:00,LONG_SPREAD,-4.62777173,-4.62777173,-1.02777173,4353.5,BUY,4359.01,SELL,34828.0,34872.08,4355.3,SELL,4357.21,BUY,5.854806719999999,22.94519328000291
2025-12-31 04:27:00,2025-12-31 04:28:00,SHORT_SPREAD,2.57222827,2.57222827,-1.02777173,4365.15,SELL,4362.13,BUY,34921.2,34897.04,4363.349999999999,BUY,4363.93,SELL,5.864732159999999,22.93526784000291
2025-12-31 04:29:00,2025-12-31 04:31:00,SHORT_SPREAD,2.57222827,2.57222827,-1.02777173,4364.51,SELL,4361.69,BUY,34916.08,34893.52,4362.71,BUY,4363.49,SELL,5.864006399999999,22.93599360000291
2025-12-31 04:29:00,2025-12-31 04:34:00,SHORT_SPREAD,-1.02777173,-1.02777173,-4.62777173,4364.51,SELL,4361.69,BUY,34916.08,34893.52,4362.71,BUY,4363.49,SELL,5.864006399999999,22.93599360000291
