open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,leg1_open_price,leg1_open_direction,leg2_open_price,leg2_open_direction,leg1_open_amount,leg2_open_amount,leg1_close_price,leg1_close_direction,leg2_close_price,leg2_close_direction,fee,pnl
2026-03-08 22:23:00,2026-03-08 22:24:00,SHORT_SPREAD,3.4,3.4,2.8,107.54,SELL,103.98,BUY,5161.92,4991.04,107.24000000000001,BUY,104.28,SELL,0.8528486399999999,27.947151359999726
2026-03-08 22:23:00,2026-03-08 22:27:00,SHORT_SPREAD,2.8,2.8,2.1999999999999997,107.54,SELL,103.98,BUY,5161.92,4991.04,107.24000000000001,BUY,104.28,SELL,0.8528486399999999,27.947151359999726
2026-03-08 22:21:00,2026-03-08 22:28:00,SHORT_SPREAD,2.2,2.2,1.6,106.34,SELL,103.82000000000001,BUY,5104.32,4983.360000000001,106.04,BUY,104.12,SELL,0.84736512,27.952634879999728
2026-03-08 22:34:00,2026-03-08 22:50:00,SHORT_SPREAD,2.2,2.2,1.6,106.2,SELL,104.13000000000001,BUY,5097.6,4998.240000000001,105.9,BUY,104.43,SELL,0.8480505600000001,27.951949439999726
2026-03-08 23:04:00,2026-03-08 23:07:00,LONG_SPREAD,-0.2,-0.2,0.39999999999999997,103.3,BUY,103.42,SELL,4958.4,4964.16,103.6,SELL,103.12,BUY,0.8334950399999999,27.966504959999728
2026-03-08 23:04:00,2026-03-08 23:07:00,LONG_SPREAD,0.4,0.4,1.0,103.3,BUY,103.42,SELL,4958.4,4964.16,103.6,SELL,103.12,BUY,0.8334950399999999,27.966504959999728
2026-03-08 23:19:00,2026-03-08 23:37:00,LONG_SPREAD,-0.2,-0.2,0.39999999999999997,103.74,BUY,103.74,SELL,4979.5199999999995,4979.5199999999995,104.03999999999999,SELL,103.44,BUY,0.8365593599999999,27.963440639999728
2026-03-08 23:40:00,2026-03-08 23:49:00,LONG_SPREAD,-0.8,-0.8,-0.20000000000000007,102.53,BUY,103.46,SELL,4921.4400000000005,4966.08,102.83,SELL,103.16,BUY,0.83055168,27.969448319999728
2026-03-08 23:40:00,2026-03-08 23:51:00,LONG_SPREAD,-0.2,-0.2,0.39999999999999997,102.53,BUY,103.46,SELL,4921.4400000000005,4966.08,102.83,SELL,103.16,BUY,0.83055168,27.969448319999728
2026-03-08 23:10:00,2026-03-08 23:53:00,LONG_SPREAD,0.4,0.4,1.0,104.0,BUY,103.52,SELL,4992.0,4968.96,104.3,SELL,103.22,BUY,0.83672064,27.963279359999728
2026-03-09 00:14:00,2026-03-09 00:23:00,LONG_SPREAD,-1.4,-1.4,-0.7999999999999999,106.94,BUY,108.19,SELL,5133.12,5193.12,107.24,SELL,107.89,BUY,0.86740416,27.932595839999728
2026-03-09 00:02:00,2026-03-09 00:37:00,LONG_SPREAD,-0.8,-0.8,-0.20000000000000007,107.04,BUY,107.75,SELL,5137.92,5172.0,107.34,SELL,107.45,BUY,0.8660332799999999,27.933966719999727
